subject_id,concept_id,concept_name,difficulty,question_type,question_id,question_text,option_a,option_b,option_c,option_d,correct_answer
1,1,Number Systems,Beginner,Understanding,S1_C1_Understanding,Which statement correctly describes an integer?,An integer is any number written as a fraction.,"An integer is a whole number or its negative, including zero.",An integer is always greater than zero.,An integer must have a decimal part.,B
1,1,Number Systems,Beginner,Application,S1_C1_Application,A temperature is 5°C below zero. Which integer represents this temperature?,5,0,-5,5.0,C
1,1,Number Systems,Beginner,Reasoning,S1_C1_Reasoning,Which number is greater than -3 but less than 2?,-5,-2,3,4,B
1,1,Number Systems,Beginner,Problem Solving,S1_C1_Problem_Solving,A bank account changes from -20 dollars to 15 dollars. What is the total change in the account balance?,5 dollars,25 dollars,35 dollars,45 dollars,C
1,1,Number Systems,Beginner,Misconception Detection,S1_C1_Misconception_Detection,A student says: 'Every rational number must be an integer.' Which statement best evaluates the student's claim?,The claim is correct because rational numbers cannot contain fractions.,The claim is correct because every rational number is positive.,The claim is incorrect because some rational numbers are fractions that are not integers.,The claim is incorrect because rational numbers are always irrational.,C
1,1,Number Systems,Beginner,Transfer,S1_C1_Transfer,"A submarine is 12 meters below sea level, while a bird is 12 meters above sea level. Which pair of integers represents their positions?",12 and 12,-12 and 12,12 and -12,-12 and -12,B
1,2,Algebraic Expressions,Beginner,Understanding,S1_C2_Understanding,"In the expression 3x + 5, what is the coefficient of x?",3,5,x,8,A
1,2,Algebraic Expressions,Beginner,Application,S1_C2_Application,"If x = 4, what is the value of 2x + 3?",8,9,11,14,C
1,2,Algebraic Expressions,Beginner,Reasoning,S1_C2_Reasoning,Which expression is equivalent to 4x + 2x?,6x,8x,6x²,4x² + 2,A
1,2,Algebraic Expressions,Beginner,Problem Solving,S1_C2_Problem_Solving,A rectangle has a length of x + 3 meters and a width of 2 meters. Which expression represents its perimeter?,x + 5,2x + 6,2x + 10,x + 10,C
1,2,Algebraic Expressions,Beginner,Misconception Detection,S1_C2_Misconception_Detection,A student simplifies 3x + 4 as 7x. What is the error in the student's reasoning?,The student added terms that are not like terms.,The student multiplied the coefficients incorrectly.,The student forgot that x is always zero.,The student changed a variable into a constant.,A
1,2,Algebraic Expressions,Beginner,Transfer,S1_C2_Transfer,A movie ticket costs x dollars and a snack costs 4 dollars. Which expression represents the total cost of 3 tickets and one snack?,3x + 4,x + 12,3(x + 4),4x + 3,A
1,3,Linear Equations,Beginner,Understanding,S1_C3_Understanding,Which equation is linear in one variable?,x² + 2 = 6,2x + 3 = 7,1/x = 4,x³ = 8,B
1,3,Linear Equations,Beginner,Application,S1_C3_Application,Solve the equation x + 7 = 12.,x = 3,x = 4,x = 5,x = 19,C
1,3,Linear Equations,Beginner,Reasoning,S1_C3_Reasoning,"If 3x = 18, which operation isolates x?",Add 3 to both sides.,Subtract 3 from both sides.,Multiply both sides by 3.,Divide both sides by 3.,D
1,3,Linear Equations,Beginner,Problem Solving,S1_C3_Problem_Solving,"A taxi charges a fixed fee of 5 dollars plus 2 dollars per kilometer. If the total fare is 17 dollars, how many kilometers were traveled?",5 km,6 km,8 km,11 km,B
1,3,Linear Equations,Beginner,Misconception Detection,S1_C3_Misconception_Detection,A student solves 2x + 4 = 10 by subtracting 4 from the left side only. Why is this invalid?,Because subtraction is never allowed in equations.,Because the same operation must be applied to both sides to preserve equality.,Because x cannot appear in a linear equation.,Because 10 is not a valid constant.,B
